4400VW,WV0044
4400WE,EW0044
4401JW,WJ1044
4401LJ,JL1044
4401VC,CV1044
4402RA,AR2044
4402UA,AU2044
4402UR,RU2044
4403MH,HM3044
4403RK,KR3044
4403RO,OR3044
4403UP,PU3044
4403WY,YW3044
4404ME,EM4044
4405PX,XP5044
4406HK,KH6044
4406ME,EM6044
4406NG,GN6044
4407LJ,JL7044
4407MG,GM7044
4407PL,LP7044
4409VC,CV9044
440AAX,XAA044
440ACD,DCA044
440ANN,NNA044
440AOJ,JOA044
440AUF,FUA044
440AWA,AWA044
440AXE,EXA044
440BBO,OBB044
440BKT,TKB044
440BPD,DPB044
440BTC,CTB044
440BTT,TTB044
440BWP,PWB044
440CYW,WYC044
440DCG,GCD044
440DGH,HGD044
440DUT,TUD044
440EKJ,JKE044
440ENP,PNE044
440EPU,UPE044
440EYT,TYE044
440FBF,FBF044
440FCG,GCF044
440FEV,VEF044
440FPT,TPF044
440FRY,YRF044
440GAF,FAG044
440GKL,LKG044
440GPJ,JPG044
440HOJ,JOH044
440HOJ,JOH044
440HTT,TTH044
440JBB,BBJ044
440JBF,FBJ044
440JGP,PGJ044
440JKR,RKJ044
440JWO,OWJ044
440MFM,MFM044
440MOG,GOM044
440MWC,CWM044
440MYB,BYM044
440NAF,FAN044
440NKE,EKN044
440NTU,UTN044
440PDH,HDP044
440PRB,BRP044
440PRL,LRP044
440PUR,RUP044
440RED,DER044
440UDE,EDU044
440UXA,AXU044
440UXC,CXU044
440UXD,DXU044
440UXF,FXU044
440UXH,HXU044
440UXJ,JXU044
440UXL,LXU044
440UXS,SXU044
440UYE,EYU044
440UYJ,JYU044
440WMH,HMW044
440XUC,CUX044
440XUD,DUX044
440XUD,DUX044
440XUD,DUX044
440XUF,FUX044
440XUG,GUX044
440XUP,PUX044
440XUS,SUX044
440XVE,EVX044
440YUF,FUY044
440YUJ,JUY044
440YUL,LUY044
440YUX,XUY044
4410JH,HJ0144
4410MD,DM0144
4410RA,AR0144
4410RK,KR0144
4410TF,FT0144
4410WK,KW0144
4411DH,HD1144
4411EL,LE1144
4411HE,EH1144
4411MC,CM1144
4411NC,CN1144
4411PH,HP1144
4411TW,WT1144
4411WW,WW1144
4412KR,RK2144
4412SR,RS2144
4415TD,DT5144
4415UE,EU5144
4416DG,GD6144
4416EV,VE6144
4416HA,AH6144
4417KO,OK7144
4418KD,DK8144
4418MG,GM8144
4419PZ,ZP9144
4419RU,UR9144
441AJN,NJA144
441ARL,LRA144
441BFD,DFB144
441BGP,PGB144
441BHR,RHB144
441BUO,OUB144
441BUV,VUB144
441BWC,CWB144
441CLE,ELC144
441CLE,ELC144
441CLV,VLC144
441CXF,FXC144
441DBL,LBD144
441DEA,AED144
441DNV,VND144
441DON,NOD144
441EHU,UHE144
441ERH,HRE144
441EVE,EVE144
441FRR,RRF144
441GAO,OAG144
441HOD,DOH144
441HYM,MYH144
441KMG,GMK144
441MOU,UOM144
441NRR,RRN144
441NUO,OUN144
441NVX,XVN144
441ORA,ARO144
441PFK,KFP144
441RJO,OJR144
441RMX,XMR144
441RTU,UTR144
441RWL,LWR144
441TPG,GPT144
441TRA,ART144
441UXA,AXU144
441UXC,CXU144
441UXD,DXU144
441UXK,KXU144
441UXL,LXU144
441UXS,SXU144
441UXV,VXU144
441UXY,YXU144
441UYW,WYU144
441XMG,GMX144
441XPA,APX144
441XUD,DUX144
441XUF,FUX144
441XUH,HUX144
441XUP,PUX144
441XUS,SUX144
441YKO,OKY144
441YUA,AUY144
441YUE,EUY144
441YUF,FUY144
441YUL,LUY144
441YUM,MUY144
441YUX,XUY144
4420HE,EH0244
4420SC,CS0244
4421DH,HD1244
4422HJ,JH2244
4422HK,KH2244
4422MP,PM2244
4422VC,CV2244
4423RO,OR3244
4423RU,UR3244
4424FM,MF4244
4424KP,PK4244
4424MG,GM4244
4424MO,OM4244
4424PP,PP4244
4424RO,OR4244
4424TR,RT4244
4425JN,NJ5244
4425RW,WR5244
4426BH,HB6244
4426DG,GD6244
4426PJ,JP6244
4426RE,ER6244
4426UA,AU6244
4428FH,HF8244
4429BH,HB9244
442AAO,OAA244
442AHU,UHA244
442ANV,VNA244
442AWA,AWA244
442BDL,LDB244
442BJB,BJB244
442BLG,GLB244
442CJF,FJC244
442CJF,FJC244
442CUW,WUC244
442CYY,YYC244
442DCJ,JCD244
442DCV,VCD244
442DEL,LED244
442DHA,AHD244
442DRK,KRD244
442DRK,KRD244
442DVM,MVD244
442EML,LME244
442EON,NOE244
442ETT,TTE244
442EYA,AYE244
442FBD,DBF244
442FHA,AHF244
442FKL,LKF244
442FMM,MMF244
442FON,NOF244
442FWY,YWF244
442GBH,HBG244
442GYD,DYG244
442HRH,HRH244
442JAC,CAJ244
442JWA,AWJ244
442KKO,OKK244
442KLG,GLK244
442KNP,PNK244
442KUO,OUK244
442KUO,OUK244
442KVK,KVK244
442KYB,BYK244
442LDT,TDL244
442MKN,NKM244
